,1-grams,1-grams count,2-grams,2-grams count,3-grams,3-grams count,4-grams,4-grams count
0,𐑯,614303192,𐑦𐑯,73944387,𐑞𐑨𐑑,22584235,𐑓𐑮𐑪𐑥,9132472
1,𐑦,612067523,𐑕𐑑,60776713,𐑢𐑪𐑟,20684684,𐑦𐑯𐑑𐑵,3584864
2,𐑑,560172072,𐑩𐑯,59260763,𐑢𐑦𐑞,18278820,𐑜𐑮𐑱𐑑,3334683
3,𐑩,405381206,𐑢𐑦,38780443,𐑣𐑦𐑟,16810847,𐑝𐑧𐑮𐑦,3112282
4,𐑕,398031847,𐑤𐑦,35404174,𐑯𐑪𐑑,11905059,𐑨𐑓𐑑𐑼,2942604
5,𐑤,338607901,𐑮𐑦,35003342,𐑣𐑨𐑛,11640362,𐑒𐑩𐑯𐑕,2876996
6,𐑛,314866543,𐑦𐑑,33612845,𐑚𐑳𐑑,10724836,𐑴𐑯𐑤𐑦,2855848
7,𐑥,241154948,𐑯𐑑,33564876,𐑢𐑦𐑗,10151418,𐑩𐑐𐑪𐑯,2846678
8,𐑒,240924381,𐑣𐑨,32518624,𐑒𐑩𐑯,10012046,𐑩𐑚𐑬𐑑,2816283
9,𐑧,237942602,𐑯𐑛,32198484,𐑣𐑨𐑝,9587427,𐑩𐑜𐑧𐑯,2632103
10,𐑟,235846484,𐑛𐑦,31338085,𐑞𐑦𐑕,9385268,𐑤𐑦𐑑𐑩,2567387
11,𐑮,206256578,𐑣𐑦,28146231,𐑓𐑮𐑪,9264335,𐑦𐑒𐑕𐑐,2505992
12,𐑨,200941366,𐑢𐑪,27441758,𐑢𐑳𐑯,8691081,𐑣𐑨𐑯𐑛,2468883
13,𐑝,179952630,𐑞𐑨,25597817,𐑣𐑦𐑥,8680266,𐑳𐑯𐑛𐑼,2467508
14,𐑐,168794198,𐑧𐑯,25478450,𐑩𐑯𐑑,8576048,𐑱𐑖𐑩𐑯,2343554
15,𐑢,156772999,𐑐𐑮,25033200,𐑦𐑯𐑑,8420043,𐑚𐑦𐑓𐑹,2333885
16,𐑼,145488318,𐑑𐑩,24962921,𐑛𐑦𐑕,7600355,𐑒𐑩𐑯𐑑,2309815
17,𐑚,142953353,𐑑𐑦,23833438,𐑖𐑩𐑯,6955672,𐑓𐑻𐑕𐑑,2275049
18,𐑓,142406985,𐑩𐑤,23682386,𐑢𐑧𐑯,6670094,𐑥𐑳𐑕𐑑,2204558
19,𐑣,140934229,𐑒𐑩,23408252,𐑕𐑑𐑮,6133364,𐑛𐑦𐑕𐑑,2185253
20,𐑰,140919650,𐑦𐑙,23346357,𐑦𐑒𐑕,5780445,𐑧𐑝𐑮𐑦,2182494
21,𐑪,140416911,𐑦𐑟,23103257,𐑕𐑳𐑥,5775100,𐑥𐑴𐑕𐑑,2162472
22,𐑲,139100985,𐑕𐑧,22920367,𐑒𐑪𐑯,5687484,𐑐𐑤𐑱𐑕,2107683
23,𐑱,138050838,𐑚𐑦,22572888,𐑥𐑧𐑯,5685896,𐑒𐑩𐑥𐑐,1971466
24,𐑴,126045162,𐑣𐑰,20673531,𐑞𐑧𐑥,5619142,𐑥𐑩𐑯𐑑,1930174
25,𐑳,115615175,𐑕𐑦,19613369,𐑐𐑮𐑦,5590014,𐑚𐑰𐑦𐑙,1878410
26,𐑞,108052636,𐑪𐑯,19168641,𐑚𐑦𐑯,5372790,𐑥𐑧𐑯𐑦,1844181
27,𐑵,74652844,𐑕𐑩,18238336,𐑑𐑩𐑛,5327924,𐑯𐑧𐑝𐑼,1843217
28,𐑙,72983828,𐑓𐑮,16601817,𐑢𐑫𐑛,5266340,𐑓𐑬𐑯𐑛,1786250
29,𐑜,72168348,𐑖𐑩,16547262,𐑢𐑦𐑤,5238495,𐑕𐑧𐑯𐑑,1777019
30,𐑖,64719297,𐑯𐑕,16278833,𐑥𐑨𐑯,5143192,𐑓𐑮𐑧𐑯,1771043
31,𐑻,63007937,𐑑𐑮,16227303,𐑔𐑦𐑙,4694416,𐑕𐑑𐑱𐑑,1738538
32,𐑹,60664344,𐑑𐑼,16143649,𐑕𐑧𐑛,4690045,𐑡𐑳𐑕𐑑,1730954
33,𐑗,48926400,𐑯𐑦,15878077,𐑜𐑮𐑱,4687982,𐑰𐑝𐑩𐑯,1715557
34,𐑡,45771321,𐑨𐑟,15611850,𐑦𐑑𐑕,4546344,𐑐𐑮𐑦𐑟,1684183
35,𐑬,44079502,𐑛𐑧,15103291,𐑩𐑯𐑟,4435004,𐑛𐑦𐑕𐑒,1683227
36,𐑸,38020694,𐑚𐑰,15031881,𐑢𐑪𐑑,4420835,𐑦𐑯𐑑𐑼,1667643
37,𐑫,35121013,𐑯𐑪,14535411,𐑐𐑤𐑱,4284931,𐑦𐑯𐑕𐑑,1635168
38,𐑭,35026076,𐑕𐑐,14410400,𐑐𐑮𐑪,4271039,𐑣𐑦𐑥𐑕,1606968
39,𐑷,33702963,𐑦𐑒,14294631,𐑑𐑲𐑥,4226595,𐑔𐑦𐑙𐑒,1597570
40,𐑿,33489849,𐑕𐑳,14189374,𐑒𐑩𐑥,4092004,𐑢𐑦𐑞𐑬,1585182
41,𐑺,30025018,𐑥𐑦,14178586,𐑕𐑧𐑯,4053064,𐑐𐑮𐑧𐑟,1524361
42,𐑔,29979542,𐑨𐑑,13878899,𐑑𐑩𐑯,4031766,𐑡𐑧𐑯𐑼,1516742
43,𐑽,18771456,𐑩𐑛,13824403,𐑧𐑯𐑑,4013640,𐑷𐑤𐑕𐑴,1505837
44,𐑾,17238750,𐑷𐑤,13814486,𐑳𐑞𐑼,3948411,𐑒𐑪𐑯𐑕,1502006
45,𐑘,15723115,𐑢𐑻,13288134,𐑐𐑮𐑩,3936139,𐑒𐑪𐑯𐑑,1496357
46,𐑶,9679593,𐑥𐑧,13223770,𐑒𐑨𐑯,3899603,𐑐𐑮𐑦𐑯,1459845
47,𐑠,6739293,𐑯𐑴,13183470,𐑧𐑯𐑦,3880383,𐑕𐑑𐑦𐑤,1450997
48,,,𐑯𐑟,13171204,𐑤𐑦𐑑,3853502,𐑤𐑨𐑕𐑑,1442437
49,,,𐑚𐑲,12854730,𐑱𐑖𐑩,3822041,𐑐𐑰𐑐𐑩,1433387
50,,,𐑥𐑲,12807924,𐑒𐑳𐑥,3690804,𐑕𐑑𐑨𐑯,1430552
51,,,𐑥𐑩,12696637,𐑝𐑧𐑮,3638163,𐑕𐑦𐑑𐑦,1405783
52,,,𐑒𐑪,12559267,𐑣𐑨𐑟,3630689,𐑓𐑪𐑤𐑴,1321515
53,,,𐑞𐑺,12468286,𐑐𐑮𐑧,3561187,𐑢𐑧𐑯𐑑,1268442
54,,,𐑜𐑮,12333346,𐑦𐑯𐑛,3554880,𐑛𐑨𐑯𐑟,1262892
55,,,𐑤𐑛,12200626,𐑞𐑧𐑯,3474644,𐑐𐑶𐑯𐑑,1239459
56,,,𐑩𐑕,12054107,𐑕𐑧𐑤,3350693,𐑩𐑯𐑳𐑞,1228303
57,,,𐑮𐑧,11983293,𐑦𐑯𐑕,3292777,𐑥𐑲𐑯𐑛,1212127
58,,,𐑤𐑧,11887596,𐑦𐑕𐑑,3256252,𐑦𐑒𐑕𐑑,1195547
59,,,𐑒𐑑,11853992,𐑦𐑥𐑐,3131502,𐑦𐑯𐑛𐑦,1181856
60,,,𐑥𐑱,11707254,𐑩𐑯𐑕,3109385,𐑐𐑻𐑕𐑩,1164664
61,,,𐑚𐑳,11595490,𐑩𐑯𐑛,3085039,𐑢𐑷𐑑𐑼,1162479
62,,,𐑢𐑧,11578704,𐑩𐑐𐑪,3051013,𐑦𐑙𐑜𐑤,1141346
63,,,𐑕𐑰,11551201,𐑥𐑩𐑯,3042787,𐑖𐑩𐑯𐑟,1140040
64,,,𐑥𐑨,11402804,𐑤𐑲𐑒,3039204,𐑚𐑦𐑑𐑢,1135468
65,,,𐑑𐑕,11143759,𐑞𐑨𐑯,3013038,𐑓𐑲𐑯𐑛,1132646
66,,,𐑣𐑻,11031076,𐑒𐑫𐑛,3004297,𐑢𐑳𐑯𐑕,1130594
67,,,𐑤𐑲,11027347,𐑨𐑓𐑑,2987003,𐑢𐑻𐑤𐑛,1120890
68,,,𐑕𐑴,11001866,𐑮𐑦𐑑,2945166,𐑢𐑪𐑯𐑑,1115077
69,,,𐑤𐑩,10884272,𐑳𐑯𐑛,2928269,𐑯𐑳𐑔𐑦,1097983
70,,,𐑨𐑯,10847500,𐑴𐑝𐑼,2913856,𐑕𐑻𐑑𐑩,1096103
71,,,𐑪𐑥,10695080,𐑐𐑸𐑑,2902513,𐑤𐑧𐑓𐑑,1089194
72,,,𐑑𐑵,10644145,𐑕𐑑𐑦,2867840,𐑕𐑑𐑮𐑱,1080096
73,,,𐑒𐑨,10490106,𐑴𐑯𐑤,2857121,𐑩𐑚𐑩𐑤,1073519
74,,,𐑦𐑕,10424015,𐑩𐑚𐑬,2854315,𐑒𐑳𐑯𐑑,1073051
75,,,𐑧𐑒,10392053,𐑚𐑩𐑤,2846278,𐑩𐑥𐑳𐑙,1050719
76,,,𐑐𐑤,10358712,𐑕𐑑𐑱,2845623,𐑒𐑖𐑩𐑯,1042674
77,,,𐑓𐑹,10340881,𐑤𐑧𐑟,2831154,𐑴𐑐𐑩𐑯,1040641
78,,,𐑞𐑦,10311388,𐑑𐑱𐑒,2829982,𐑛𐑦𐑕𐑐,1040309
79,,,𐑳𐑯,10294622,𐑞𐑰𐑟,2809790,𐑮𐑧𐑕𐑑,1024391
80,,,𐑯𐑩,10152613,𐑧𐑒𐑑,2807898,𐑤𐑨𐑯𐑛,1018785
81,,,𐑱𐑑,9910985,𐑚𐑦𐑤,2806007,𐑒𐑷𐑤𐑛,1011903
82,,,𐑒𐑳,9860319,𐑑𐑮𐑦,2797144,𐑦𐑖𐑩𐑯,1007478
83,,,𐑚𐑮,9555033,𐑼𐑩𐑤,2796122,𐑑𐑧𐑥𐑐,1002626
84,,,𐑒𐑱,9550384,𐑑𐑧𐑯,2788957,𐑒𐑢𐑧𐑕,996141
85,,,𐑩𐑚,9509611,𐑩𐑜𐑧,2776868,𐑒𐑲𐑯𐑛,994748
86,,,𐑝𐑦,9478209,𐑧𐑯𐑛,2762524,𐑥𐑴𐑥𐑧,990302
87,,,𐑦𐑤,9272838,𐑑𐑦𐑙,2753988,𐑕𐑥𐑷𐑤,989578
88,,,𐑕𐑒,9240681,𐑒𐑢𐑲,2744654,𐑔𐑦𐑙𐑟,978663
89,,,𐑒𐑢,9223880,𐑢𐑧𐑤,2695983,𐑚𐑦𐑒𐑪,969556
90,,,𐑥𐑰,9145938,𐑥𐑱𐑛,2676244,𐑮𐑦𐑑𐑻,969513
91,,,𐑞𐑧,9093986,𐑕𐑳𐑯,2664582,𐑒𐑩𐑯𐑓,968252
92,,,𐑕𐑱,9059077,𐑡𐑧𐑯,2606588,𐑐𐑨𐑕𐑑,966663
93,,,𐑒𐑮,8858929,𐑛𐑦𐑛,2579691,𐑣𐑨𐑝𐑦,966069
94,,,𐑢𐑳,8819762,𐑣𐑨𐑯,2564762,𐑒𐑨𐑮𐑦,965682
95,,,𐑛𐑩,8791723,𐑑𐑮𐑨,2493773,𐑦𐑯𐑑𐑧,964360
96,,,𐑩𐑥,8639257,𐑒𐑪𐑥,2483249,𐑓𐑭𐑞𐑼,963990
97,,,𐑒𐑕,8631945,𐑦𐑖𐑩,2470433,𐑷𐑤𐑢𐑱,963980
98,,,𐑧𐑤,8446985,𐑕𐑳𐑗,2459108,𐑣𐑬𐑧𐑝,938571
99,,,𐑦𐑥,8378613,𐑮𐑦𐑥,2443226,𐑚𐑦𐑤𐑰,924262
